HELLO   HH AH L OW
HELLO (2)   HH EH L OW
WORLD   W ER L D
WE  W IY
MADE    M EY D
IT  IH T
HIT     HH IH T
ME  M IY
BABY    B EY B IY
STAND   S T AE N D
I   AY
HOLD    HH OW L D
BUST    B AH S T
SPLIT   S P L IH T
QUIT    K W IH T
WIN W IH N
LOOK    L UH K
OVER    OW V ER
THERE   DH EH R
BLACKJACK   B L AE K JH AE K
TWENTY  T W EH N T IY
ONE W AH N
ONE(2)  HH W AH N
PAY     P EY
UP  AH P
DOUBLE  D AH B AH L
DOWN    D AW N
CUT     K AH T
THE     DH AH
THE (2) DH IY
DECK    D EH K
ANOTHER     AH N AH DH ER
ROUND   R AW N D
MORE    M AO R
BEER    B IH R
WHISKEY W IH S K IY
WHISKEY(2)  HH W IH S K IY
COUNTING    K AW N T IH NG
CARDS   K AA R D Z
FIGHT   F AY T
ME  M IY
